group_type,group,threshold,recall,selection_rate
Income,High,0.1,0.7307692307692307,0.45362058647516457
Income,High,0.2,0.4230769230769231,0.1651705565529623
Income,High,0.30000000000000004,0.1346153846153846,0.04009575104727708
Income,High,0.4,0.04487179487179487,0.010173548773189706
Income,High,0.5,0.0,0.0
Income,High,0.6,0.0,0.0
Income,High,0.7000000000000001,0.0,0.0
Income,High,0.8,0.0,0.0
Income,High,0.9,0.0,0.0
Income,Low,0.1,0.8608695652173913,0.6163636363636363
Income,Low,0.2,0.5521739130434783,0.26666666666666666
Income,Low,0.30000000000000004,0.3217391304347826,0.10363636363636364
Income,Low,0.4,0.17391304347826086,0.041212121212121214
Income,Low,0.5,0.06956521739130435,0.013939393939393939
Income,Low,0.6,0.021739130434782608,0.0030303030303030303
Income,Low,0.7000000000000001,0.0,0.0
Income,Low,0.8,0.0,0.0
Income,Low,0.9,0.0,0.0
Income,Medium,0.1,0.7197802197802198,0.4472900536033353
Income,Medium,0.2,0.34615384615384615,0.14949374627754616
Income,Medium,0.30000000000000004,0.14285714285714285,0.0410958904109589
Income,Medium,0.4,0.04945054945054945,0.01072066706372841
Income,Medium,0.5,0.005494505494505495,0.0005955926146515784
Income,Medium,0.6,0.0,0.0
Income,Medium,0.7000000000000001,0.0,0.0
Income,Medium,0.8,0.0,0.0
Income,Medium,0.9,0.0,0.0
Education,Bachelors,0.1,0.7786259541984732,0.46434359805510533
Education,Bachelors,0.2,0.42748091603053434,0.16531604538087522
Education,Bachelors,0.30000000000000004,0.1984732824427481,0.05186385737439222
Education,Bachelors,0.4,0.08396946564885496,0.017828200972447326
Education,Bachelors,0.5,0.03816793893129771,0.005672609400324149
Education,Bachelors,0.6,0.030534351145038167,0.0032414910858995136
Education,Bachelors,0.7000000000000001,0.0,0.0
Education,Bachelors,0.8,0.0,0.0
Education,Bachelors,0.9,0.0,0.0
Education,High School,0.1,0.7987421383647799,0.5258964143426295
Education,High School,0.2,0.5345911949685535,0.21752988047808766
Education,High School,0.30000000000000004,0.2389937106918239,0.0653386454183267
Education,High School,0.4,0.13836477987421383,0.027888446215139442
Education,High School,0.5,0.025157232704402517,0.004780876494023904
Education,High School,0.6,0.0,0.0
Education,High School,0.7000000000000001,0.0,0.0
Education,High School,0.8,0.0,0.0
Education,High School,0.9,0.0,0.0
Education,Masters,0.1,0.7203389830508474,0.5118670886075949
Education,Masters,0.2,0.3813559322033898,0.1764240506329114
Education,Masters,0.30000000000000004,0.19491525423728814,0.05775316455696203
Education,Masters,0.4,0.07627118644067797,0.015822784810126583
Education,Masters,0.5,0.03389830508474576,0.003955696202531646
Education,Masters,0.6,0.00847457627118644,0.0007911392405063291
Education,Masters,0.7000000000000001,0.0,0.0
Education,Masters,0.8,0.0,0.0
Education,Masters,0.9,0.0,0.0
Education,None,0.1,0.80625,0.5180433039294307
Education,None,0.2,0.4375,0.2141138732959102
Education,None,0.30000000000000004,0.2125,0.07056936647955092
Education,None,0.4,0.0875,0.020850040096230954
Education,None,0.5,0.025,0.0048115477145148355
Education,None,0.6,0.0,0.0
Education,None,0.7000000000000001,0.0,0.0
Education,None,0.8,0.0,0.0
Education,None,0.9,0.0,0.0
Employment,Contractor,0.1,0.7578125,0.48412698412698413
Employment,Contractor,0.2,0.40625,0.18095238095238095
Employment,Contractor,0.30000000000000004,0.1640625,0.049206349206349205
Employment,Contractor,0.4,0.046875,0.011904761904761904
Employment,Contractor,0.5,0.015625,0.003968253968253968
Employment,Contractor,0.6,0.0,0.0
Employment,Contractor,0.7000000000000001,0.0,0.0
Employment,Contractor,0.8,0.0,0.0
Employment,Contractor,0.9,0.0,0.0
Employment,Full-time,0.1,0.79375,0.4964426877470356
Employment,Full-time,0.2,0.475,0.18102766798418973
Employment,Full-time,0.30000000000000004,0.23125,0.05849802371541502
Employment,Full-time,0.4,0.10625,0.021343873517786563
Employment,Full-time,0.5,0.025,0.0047430830039525695
Employment,Full-time,0.6,0.0125,0.0015810276679841897
Employment,Full-time,0.7000000000000001,0.0,0.0
Employment,Full-time,0.8,0.0,0.0
Employment,Full-time,0.9,0.0,0.0
Employment,Part-time,0.1,0.7692307692307693,0.492845786963434
Employment,Part-time,0.2,0.358974358974359,0.17488076311605724
Employment,Part-time,0.30000000000000004,0.15384615384615385,0.05643879173290938
Employment,Part-time,0.4,0.06837606837606838,0.018282988871224166
Employment,Part-time,0.5,0.02564102564102564,0.003179650238473768
Employment,Part-time,0.6,0.008547008547008548,0.000794912559618442
Employment,Part-time,0.7000000000000001,0.0,0.0
Employment,Part-time,0.8,0.0,0.0
Employment,Part-time,0.9,0.0,0.0
Employment,Unemployed,0.1,0.7914110429447853,0.5488907148726376
Employment,Unemployed,0.2,0.5276073619631901,0.23829087921117503
Employment,Unemployed,0.30000000000000004,0.27607361963190186,0.08216926869350863
Employment,Unemployed,0.4,0.15337423312883436,0.031224322103533278
Employment,Unemployed,0.5,0.049079754601226995,0.007395234182415777
Employment,Unemployed,0.6,0.012269938650306749,0.0016433853738701725
Employment,Unemployed,0.7000000000000001,0.0,0.0
Employment,Unemployed,0.8,0.0,0.0
Employment,Unemployed,0.9,0.0,0.0
